scenario,field,go_count,rust_count,delta,verdict,note
nested-overwrite,aggregation_contributions,0,0,0,match,
nested-overwrite,aggregation_results,0,0,0,match,
nested-overwrite,bitmap_probes,0,0,0,match,
nested-overwrite,bytes_moved,71531058,69145640,2385418,go-more,identical per-call formulas at the mapped-page write authorities; +3.4% total concentrated in slotted-insert slot-array shifts, to attribute in the final review
nested-overwrite,bytes_zeroed,8483850,8487946,-4096,go-less,Go zeroes one fewer full page (one fewer reserve/initialize page than Rust)
nested-overwrite,catalog_interns,0,0,0,match,
nested-overwrite,catalog_lookups,0,0,0,match,
nested-overwrite,cell_probes,2830634,2831995,-1361,go-less,
nested-overwrite,edge_path_checks,0,0,0,match,
nested-overwrite,edit_fit_probes,101371,101371,0,match,
nested-overwrite,file_syncs,2,2,0,match,
nested-overwrite,first_fence_updates,1372,1372,0,match,
nested-overwrite,history_window_tests,0,0,0,match,
nested-overwrite,input_source_passes,98,98,0,match,
nested-overwrite,join_advances,0,0,0,match,
nested-overwrite,key_probes,1854249,1854249,0,match,
nested-overwrite,leaf_locator_fallbacks,99999,99999,0,match,
nested-overwrite,leaf_locator_hits,0,0,0,match,
nested-overwrite,leaf_locator_misses,99998,99998,0,match,
nested-overwrite,leaf_validations,399998,599995,-199997,go-less,
nested-overwrite,mapping_flushes,2,2,0,match,
nested-overwrite,mapping_growths,1,1,0,match,
nested-overwrite,mapping_remaps,1,3,-2,go-less,
nested-overwrite,membership_combinations,0,0,0,match,
nested-overwrite,membership_decode_cache_hits,0,0,0,match,
nested-overwrite,membership_decodes,0,0,0,match,
nested-overwrite,membership_delta_spills,0,0,0,match,
nested-overwrite,membership_intern_cache_hits,0,0,0,match,
nested-overwrite,membership_interns,0,0,0,match,
nested-overwrite,membership_leaf_reads,0,0,0,match,
nested-overwrite,membership_lookups,0,0,0,match,
nested-overwrite,membership_refcount_batches,0,0,0,match,
nested-overwrite,membership_word_reads,0,0,0,match,
nested-overwrite,output_passes,0,0,0,match,
nested-overwrite,page_parses,477004,477004,0,match,
nested-overwrite,pages_copied,1373,1373,0,match,
nested-overwrite,pages_created,1380,1380,0,match,
nested-overwrite,pages_reclaimed,0,0,0,match,
nested-overwrite,pages_retired,0,0,0,match,
nested-overwrite,pages_sealed,1376,1376,0,match,
nested-overwrite,pages_split,1373,1373,0,match,
nested-overwrite,pages_visited,685291,688025,-2734,go-less,mapping-layer definition on both sides; Go reuses the Update view for the tag stamp (FinishEdit), so it fetches one fewer page per edit than Rust
nested-overwrite,ranges_coalesced,0,0,0,match,
nested-overwrite,ranges_consumed,299999,299999,0,match,
nested-overwrite,ranges_emitted,299998,299998,0,match,
nested-overwrite,ranges_split,99999,99999,0,match,
nested-overwrite,slot_reads,3330751,3332112,-1361,go-less,
nested-overwrite,slot_scan_steps,398749,398749,0,match,
nested-overwrite,source_passes,100,100,0,match,
nested-overwrite,structure_decodes,0,0,0,match,
nested-overwrite,structure_interns,0,0,0,match,
nested-overwrite,structure_lookups,0,0,0,match,
nested-overwrite,tree_descents,171518,171518,0,match,
nested-overwrite,tree_lookups,99999,99999,0,match,
live-direct-random-lookup,aggregation_contributions,0,0,0,match,
live-direct-random-lookup,aggregation_results,0,0,0,match,
live-direct-random-lookup,bitmap_probes,0,0,0,match,
live-direct-random-lookup,bytes_moved,0,0,0,match,
live-direct-random-lookup,bytes_zeroed,0,0,0,match,
live-direct-random-lookup,catalog_interns,0,0,0,match,
live-direct-random-lookup,catalog_lookups,0,0,0,match,
live-direct-random-lookup,cell_probes,20213410,21870050,-1656640,go-less,
live-direct-random-lookup,edge_path_checks,0,0,0,match,
live-direct-random-lookup,edit_fit_probes,0,0,0,match,
live-direct-random-lookup,file_syncs,0,0,0,match,
live-direct-random-lookup,first_fence_updates,0,0,0,match,
live-direct-random-lookup,history_window_tests,0,0,0,match,
live-direct-random-lookup,input_source_passes,0,0,0,match,
live-direct-random-lookup,join_advances,0,0,0,match,
live-direct-random-lookup,key_probes,17213410,18870050,-1656640,go-less,
live-direct-random-lookup,leaf_locator_fallbacks,0,0,0,match,
live-direct-random-lookup,leaf_locator_hits,0,0,0,match,
live-direct-random-lookup,leaf_locator_misses,0,0,0,match,
live-direct-random-lookup,leaf_validations,1000000,0,1000000,go-more,
live-direct-random-lookup,mapping_flushes,0,0,0,match,
live-direct-random-lookup,mapping_growths,0,0,0,match,
live-direct-random-lookup,mapping_remaps,0,0,0,match,
live-direct-random-lookup,membership_combinations,0,0,0,match,
live-direct-random-lookup,membership_decode_cache_hits,0,0,0,match,
live-direct-random-lookup,membership_decodes,0,0,0,match,
live-direct-random-lookup,membership_delta_spills,0,0,0,match,
live-direct-random-lookup,membership_intern_cache_hits,0,0,0,match,
live-direct-random-lookup,membership_interns,0,0,0,match,
live-direct-random-lookup,membership_leaf_reads,0,0,0,match,
live-direct-random-lookup,membership_lookups,0,0,0,match,
live-direct-random-lookup,membership_refcount_batches,0,0,0,match,
live-direct-random-lookup,membership_word_reads,0,0,0,match,
live-direct-random-lookup,output_passes,0,0,0,match,
live-direct-random-lookup,page_parses,3000000,3000000,0,match,
live-direct-random-lookup,pages_copied,0,0,0,match,
live-direct-random-lookup,pages_created,0,0,0,match,
live-direct-random-lookup,pages_reclaimed,0,0,0,match,
live-direct-random-lookup,pages_retired,0,0,0,match,
live-direct-random-lookup,pages_sealed,0,0,0,match,
live-direct-random-lookup,pages_split,0,0,0,match,
live-direct-random-lookup,pages_visited,3000000,3000000,0,match,
live-direct-random-lookup,ranges_coalesced,0,0,0,match,
live-direct-random-lookup,ranges_consumed,0,0,0,match,
live-direct-random-lookup,ranges_emitted,0,0,0,match,
live-direct-random-lookup,ranges_split,0,0,0,match,
live-direct-random-lookup,slot_reads,20213410,21870050,-1656640,go-less,
live-direct-random-lookup,slot_scan_steps,0,0,0,match,
live-direct-random-lookup,source_passes,0,0,0,match,
live-direct-random-lookup,structure_decodes,0,0,0,match,
live-direct-random-lookup,structure_interns,0,0,0,match,
live-direct-random-lookup,structure_lookups,0,0,0,match,
live-direct-random-lookup,tree_descents,2000000,2000000,0,match,
live-direct-random-lookup,tree_lookups,1000000,1000000,0,match,
